Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level
25,Female,Australia,Undergraduate,LINE,Networking,3.0,28,3.7,1.0,7.5,Medium
21,Male,Mexico,Graduate,LinkedIn,Education,2.9,21,4.0,1.9,8.9,Low
20,Female,Germany,High School,LinkedIn,Entertainment,2.8,29,3.9,2.3,8.0,Medium
21,Male,Turkey,Graduate,LinkedIn,News,2.5,35,3.4,1.9,8.5,Low
25,Female,UK,High School,WeChat,Education,3.0,37,5.1,1.7,8.7,Medium
22,Female,USA,High School,LINE,Networking,2.6,35,3.9,2.3,8.1,Medium
25,Female,Germany,Graduate,LINE,Networking,2.8,41,3.4,1.7,7.8,Low
18,Male,France,Undergraduate,TikTok,Entertainment,2.3,39,4.8,1.9,9.0,Low
22,Female,France,High School,TikTok,News,3.5,33,4.6,1.6,8.9,Medium
25,Male,Other,Graduate,Snapchat,News,3.4,35,4.1,1.6,7.9,Low
24,Female,Canada,Undergraduate,WhatsApp,News,2.2,23,3.9,1.3,7.6,Low
25,Male,USA,High School,VKontakte,Networking,3.0,45,4.7,2.5,8.8,Medium
22,Male,Other,High School,Facebook,Education,3.3,43,3.9,2.0,7.7,Medium
18,Male,Turkey,High School,VKontakte,Education,2.7,41,3.9,2.3,8.3,Medium
23,Male,France,Graduate,LINE,News,3.8,39,3.7,1.9,8.4,Low
25,Female,UK,Undergraduate,Snapchat,Entertainment,2.3,37,4.4,1.5,9.0,Low
25,Male,Mexico,Undergraduate,Snapchat,Entertainment,3.3,40,5.0,2.5,8.5,Medium
19,Female,Australia,Undergraduate,TikTok,Networking,3.8,30,4.7,2.1,7.6,Medium
21,Male,Canada,High School,TikTok,Networking,1.9,26,4.1,1.3,8.2,Medium
22,Male,Canada,Graduate,WeChat,Education,2.8,43,5.9,1.9,8.8,Medium
22,Male,Mexico,High School,LinkedIn,News,1.7,31,5.4,2.0,7.8,Low
26,Female,UK,Undergraduate,WeChat,Education,1.6,21,4.4,2.5,8.0,Low
22,Female,France,High School,Twitter,News,2.6,29,4.5,1.4,8.0,Low
26,Male,India,Undergraduate,TikTok,Networking,3.7,30,4.0,1.5,8.4,Low
18,Male,USA,High School,Instagram,News,1.7,36,3.1,2.1,8.7,Medium
