Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level
23,Female,Australia,High School,Instagram,Networking,7.6,130,6.8,0.1,4.7,High
25,Male,France,Undergraduate,TikTok,Entertainment,11.9,121,7.2,0.5,5.0,Very High
21,Female,France,Undergraduate,WhatsApp,Networking,7.6,143,7.0,0.1,4.2,Very High
24,Male,Canada,High School,LinkedIn,News,10.6,112,9.1,0.0,3.8,Very High
21,Male,Turkey,Undergraduate,WeChat,Networking,9.5,181,6.6,0.3,4.8,Very High
25,Male,Australia,Undergraduate,LinkedIn,Networking,10.5,127,6.5,0.3,4.6,High
25,Male,India,Graduate,LinkedIn,Entertainment,7.3,161,7.6,0.3,4.9,Very High
24,Male,UK,High School,LINE,Networking,11.4,113,6.7,0.4,3.7,Very High
18,Male,Germany,High School,Instagram,Entertainment,9.9,167,6.1,0.2,5.0,High
20,Female,Canada,High School,WhatsApp,Entertainment,9.2,106,7.2,0.3,4.9,High
22,Female,Germany,Undergraduate,TikTok,Networking,11.9,101,7.7,0.5,3.7,Very High
21,Male,Canada,High School,Twitter,Networking,11.8,106,9.2,0.3,3.8,Very High
25,Female,Other,Undergraduate,Instagram,Networking,10.4,190,6.2,0.5,4.3,Very High
26,Female,Other,Undergraduate,VKontakte,Education,9.5,145,9.8,0.3,4.6,Very High
19,Female,Germany,Graduate,TikTok,News,7.8,167,8.2,0.1,5.0,High
19,Female,Mexico,Undergraduate,VKontakte,Entertainment,11.4,136,6.9,0.5,4.6,Very High
21,Male,Canada,High School,WeChat,News,7.5,190,7.9,0.1,3.5,High
19,Male,Mexico,High School,Instagram,Education,8.8,163,7.9,0.1,3.6,High
20,Male,Canada,High School,YouTube,News,9.1,122,9.3,0.1,5.3,High
23,Male,UK,High School,Twitter,News,8.4,114,7.8,0.1,4.1,High
23,Male,USA,High School,YouTube,Networking,10.5,109,9.7,0.3,5.2,Very High
24,Female,Canada,High School,YouTube,Networking,10.1,109,9.0,0.1,4.9,Very High
23,Female,USA,Undergraduate,LinkedIn,Networking,9.1,124,6.1,0.1,4.5,High
20,Female,Canada,Undergraduate,WhatsApp,Networking,7.4,175,7.5,0.4,4.0,High
25,Male,Canada,Undergraduate,LinkedIn,Entertainment,7.6,119,7.9,0.0,3.9,Very High
